央视,#genre#
CCTV1,http://angtv.cc/test/as.php?id=cctv1
CCTV1高清,http://angtv.cc/test/as.php?id=cctv1hd
CCTV2,http://angtv.cc/test/as.php?id=cctv2
CCTV2高清,http://angtv.cc/test/as.php?id=cctv2hd
CCTV3,http://angtv.cc/test/as.php?id=cctv3
CCTV3高清,http://angtv.cc/test/as.php?id=cctv3hd
CCTV4,http://angtv.cc/test/as.php?id=cctv4
CCTV4高清,http://angtv.cc/test/as.php?id=cctv4hd
CCTV4(欧洲)高清,http://angtv.cc/test/as.php?id=cctv4ohd
CCTV5,http://angtv.cc/test/as.php?id=cctv5
CCTV5高清,http://angtv.cc/test/as.php?id=cctv5hd
CCTV5+高清,http://angtv.cc/test/as.php?id=cctv5p
CCTV6,http://angtv.cc/test/as.php?id=cctv6
CCTV6高清,http://angtv.cc/test/as.php?id=cctv6hd
CCTV7,http://angtv.cc/test/as.php?id=cctv7
CCTV7高清,http://angtv.cc/test/as.php?id=cctv7hd
CCTV8,http://angtv.cc/test/as.php?id=cctv8
CCTV8高清,http://angtv.cc/test/as.php?id=cctv8hd
CCTV9,http://angtv.cc/test/as.php?id=cctv9
CCTV9高清,http://angtv.cc/test/as.php?id=cctv9hd
CCTV10,http://angtv.cc/test/as.php?id=cctv10
CCTV10高清,http://angtv.cc/test/as.php?id=cctv10hd
CCTV11,http://angtv.cc/test/as.php?id=cctv11
CCTV11高清,http://angtv.cc/test/as.php?id=cctv11hd
CCTV12,http://angtv.cc/test/as.php?id=cctv12
CCTV12高清,http://angtv.cc/test/as.php?id=cctv12hd
CCTV13,http://angtv.cc/test/as.php?id=cctv13
CCTV13高清,http://angtv.cc/test/as.php?id=cctv13hd
CCTV14,http://angtv.cc/test/as.php?id=cctv14
CCTV14高清,http://angtv.cc/test/as.php?id=cctv14hd
CCTV15,http://angtv.cc/test/as.php?id=cctv15
CCTV15高清,http://angtv.cc/test/as.php?id=cctv15hd
CCTV16高清,http://angtv.cc/test/as.php?id=cctv16
CCTV16 4k,http://angtv.cc/test/as.php?id=cctv16_4k
CCTV17,http://angtv.cc/test/as.php?id=cctv17
CCTV17高清,http://angtv.cc/test/as.php?id=cctv17hd
CGTN,#genre#
CGTN,http://angtv.cc/test/as.php?id=cgtn
CGTN高清,http://angtv.cc/test/as.php?id=cgtnhd
CGTN纪录,http://angtv.cc/test/as.php?id=cgtnjl
CGTN西语,http://angtv.cc/test/as.php?id=cgtne
CGTN法语,http://angtv.cc/test/as.php?id=cgtnf
CGTN阿语,http://angtv.cc/test/as.php?id=cgtna
CGTN俄语,http://angtv.cc/test/as.php?id=cgtnr
CETV,#genre#
CETV1,http://angtv.cc/test/as.php?id=cetv1
CETV1高清,http://angtv.cc/test/as.php?id=cetv1hd
CETV2,http://angtv.cc/test/as.php?id=cetv2
CETV4,http://angtv.cc/test/as.php?id=cetv4
CHC,#genre#
CHC家庭影院,http://angtv.cc/test/as.php?id=chcjtyy
CHC动作电影,http://angtv.cc/test/as.php?id=chcdzdy
CHC高清电影,http://angtv.cc/test/as.php?id=chcgqdy
卫视,#genre#
北京卫视,http://angtv.cc/test/as.php?id=bjws
北京卫视高清*,http://angtv.cc/test/as.php?id=bjwshd
