央视,#genre# 
CCTV-1,https://live.metshop.top/hbgd.php?id=cctv1hd_3000
CCTV-2,https://live.metshop.top/hbgd.php?id=cctv2hd_3000
CCTV-3,https://live.metshop.top/hbgd.php?id=cctv3hd_3000
CCTV-4,https://live.metshop.top/hbgd.php?id=cctv4_1000
CCTV-5,https://live.metshop.top/hbgd.php?id=cctv5hd_3000
CCTV-5+,https://live.metshop.top/hbgd.php?id=cctv5jhd_3000
CCTV-6,https://live.metshop.top/hbgd.php?id=cctv6hd_3000
CCTV-7,https://live.metshop.top/hbgd.php?id=cctv7hd_3000
CCTV-8,https://live.metshop.top/hbgd.php?id=cctv8hd_3000
CCTV-9,https://live.metshop.top/hbgd.php?id=cctv9hd_3000
CCTV-10,https://live.metshop.top/hbgd.php?id=cctv10hd_3000
CCTV-11,https://live.metshop.top/hbgd.php?id=cctv11_1000
CCTV-12,https://live.metshop.top/hbgd.php?id=cctv12hd_3000
CCTV-13,https://live.metshop.top/hbgd.php?id=cctv13_1000
CCTV-14,https://live.metshop.top/hbgd.php?id=cctv17hd_3000
CCTV-15,https://live.metshop.top/hbgd.php?id=cctv14_1000
CCTV-16,https://live.metshop.top/hbgd.php?id=cctv16hd_3000
CCTV-17,https://live.metshop.top/hbgd.php?id=cctv14hd_3000
CGTN,https://live.metshop.top/hbgd.php?id=cctvnews_1000

央视频道,#genre#
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-4,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5+,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-6,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV-7,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-8,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-9,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-10,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-11,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV-12,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV-13,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-14,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-15,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-16,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-17,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CGTN英语,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8

CHC影视,#genre# 
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8

央视收费,#genre# 
兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226975/1.m3u8
怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/1.m3u8
世界地理,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8
文化精品,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226956/1.m3u8
央视高网,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226978/1.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226950/1.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226953/1.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8
女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226969/1.m3u8
风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226984/1.m3u8
电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226987/1.m3u8

卫视,#genre# 
北京卫视,https://live.metshop.top/hbgd.php?id=bjwshd_3000
东方卫视,https://live.metshop.top/hbgd.php?id=dfwshd_3000
浙江卫视,https://live.metshop.top/hbgd.php?id=zjwshd_3000
江苏卫视,https://live.metshop.top/hbgd.php?id=jswshd_3000
湖南卫视,https://live.metshop.top/hbgd.php?id=hnwshd_3000
深圳卫视,https://live.metshop.top/hbgd.php?id=szwshd_3000
天津卫视,https://live.metshop.top/hbgd.php?id=tjwshd_3000
广东卫视,https://live.metshop.top/hbgd.php?id=gdwshd_3000
黑龙江卫视,https://live.metshop.top/hbgd.php?id=hljwshd_3000
安徽卫视,https://live.metshop.top/hbgd.php?id=ahwshd_3000
辽宁卫视,https://live.metshop.top/hbgd.php?id=lnwshd_3000
四川卫视,https://live.metshop.top/hbgd.php?id=scwshd_3000
重庆卫视,https://live.metshop.top/hbgd.php?id=cqwshd_3000
贵州卫视,https://live.metshop.top/hbgd.php?id=gzwshd_3000
江西卫视,https://live.metshop.top/hbgd.php?id=jxwshd_3000
东南卫视,https://live.metshop.top/hbgd.php?id=dnwshd_3000
湖北卫视,https://live.metshop.top/hbgd.php?id=hbwshd_3000
河南卫视,https://live.metshop.top/hbgd.php?id=henwshd_3000
山东卫视,https://live.metshop.top/hbgd.php?id=sdwdhd_3000
海南卫视,https://live.metshop.top/hbgd.php?id=hainwshd_3000
广西卫视,https://live.metshop.top/hbgd.php?id=gxwshd_3000
吉林卫视,https://live.metshop.top/hbgd.php?id=jlwshd_3000
陕西卫视,https://live.metshop.top/hbgd.php?id=shxws_1000
内蒙古卫视,https://live.metshop.top/hbgd.php?id=nmws_1000
西藏卫视,https://live.metshop.top/hbgd.php?id=xzws_1000
河北卫视,https://live.metshop.top/hbgd.php?id=hebws_1000
青海卫视,https://live.metshop.top/hbgd.php?id=qhws_1000
宁夏卫视,https://live.metshop.top/hbgd.php?id=nxws_1000
云南卫视,https://live.metshop.top/hbgd.php?id=ynws_1000
山西卫视,https://live.metshop.top/hbgd.php?id=sxws_1000
甘肃卫视,https://live.metshop.top/hbgd.php?id=gsws_1000
新疆卫视,https://live.metshop.top/hbgd.php?id=xjws_1000
兵团卫视,https://live.metshop.top/hbgd.php?id=btws_1000
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225796/1.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797/1.m3u8
四川卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001130/index.m3u8?
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/1.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226196/1.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8

少儿,#genre# 
金鹰卡通,https://live.metshop.top/hbgd.php?id=jjkt_1000
卡酷少儿,https://live.metshop.top/hbgd.php?id=kkse_1000
嘉佳卡通,https://live.metshop.top/hbgd.php?id=jiajkt_1000

纪实,#genre# 
北京纪实科教,https://live.metshop.top/hbgd.php?id=dajs_1000
金鹰纪实,https://live.metshop.top/hbgd.php?id=jyjs_1000
纪实人文,https://live.metshop.top/hbgd.php?id=shjs_1000

湖北,#genre# 
湖北综合,https://live.metshop.top/hbgd.php?id=hbzhhd_3000
湖北经视,https://live.metshop.top/hbgd.php?id=hbjsjd_3000
湖北垄上,https://live.metshop.top/hbgd.php?id=hblshd_3000
湖北公共·新闻,https://live.metshop.top/hbgd.php?id=hbgghd_3000
湖北影视,https://live.metshop.top/hbgd.php?id=hbys_1000
湖北教育,https://live.metshop.top/hbgd.php?id=hbjy_1000
湖北生活,https://live.metshop.top/hbgd.php?id=hbsh_1000

其他,#genre# 
